Landmark_Name,Landmark_Alternate_Name,BuildType,USE_ORIG,Use_Second,Use_Tertia,Borough,Neighborhood,Address,latitude,longitude,geometry,FID,OBJECTID,Block,Lot,BBL_Code,Shape_Leng,Shape_Area,URL_IMAGE
"Paul J. Rainey Memorial Gates, New York Zoological Park","",Zoo,"Institutional, recreational, zoo","","",The Bronx,Bronx,"New York Zoological Park, park entrance at East Fordham Road",40.855,-73.87747,Point,622,1090,3120,20,2031200020,138.62772,571.3902,http://www1.nyc.gov/assets/lpc/images/content/designations/0108.jpg
Chapel of the Good Shepherd,now Good Shepherd Community Ecumenical Center,Church,"Religious, church, Episcopal","","",Manhattan,Roosevelt Island,"Roosevelt Island, located approximately opposite East 68th Street",40.76185,-73.95023,Point,674,1142,1373,40,1013730040,359.0586,5235.6465,http://www1.nyc.gov/assets/lpc/images/content/designations/0907.jpg
New York City Marble Cemetery,"",Cemetery,Cemetery,Cemetery,"",Manhattan,East Village,52-74 East 2nd Street,40.72461,-73.988914,Point,1309,173,444,49,1004440049,975.78973,39630.64,http://www1.nyc.gov/assets/lpc/images/content/designations/0464.jpg
Royale Theater,now the Bernard B. Jacobs Theater,Theater,"Commercial, theater",Theater,"",Manhattan,Theatre District,242-250 West 45th Street,40.75864,-73.98773,Point,1378,242,1016,55,1010160055,389.7937,9787.234,http://www1.nyc.gov/assets/lpc/images/content/designations/1372.jpg
Woolworth Building,"",Office Building,"Commercial, office building","","",Manhattan,Civic Center,233 Broadway,40.712467,-74.00833,Point,1439,303,123,7501,1001237501,708.3983,30963.666,http://www1.nyc.gov/assets/lpc/images/content/designations/1273.jpg
National Title Guaranty Company,"",Bank,"Commercial, bank","","",Brooklyn,Brooklyn Heights,185 Montague Street,40.694347,-73.99182,Point,202,0,244,13,3002440013,0.0,0.0,http://www1.nyc.gov/assets/lpc/images/content/designations/2587.jpg
Westfield Township School No. 5,now Public School 1 Annex,School,"Civic, school","","",Staten Island,Tottenville,Yetman Avenue and Academy Avenue,40.508522,-74.243645,Point,670,1138,7898,1,5078980001,609.8517,22423.914,http://www1.nyc.gov/assets/lpc/images/content/designations/1868.jpg
"New York Public Library, Hamilton Grange Branch","",Library,"Civic, library","","",Manhattan,Hamilton Heights,503 West 145th Street,40.825718,-73.948006,Point,884,550,2077,26,1020770026,327.81992,6191.903,http://www1.nyc.gov/assets/lpc/images/content/designations/0599.jpg
"New York Public Library, Port Richmond Branch","",Library,"Civic, library","","",Staten Island,Port Richmond,75 Bennett Street,40.637573,-74.131134,Point,1179,43,1007,26,5010070026,418.03726,10921.876,http://www1.nyc.gov/assets/lpc/images/content/designations/1997.jpg
"Fort Hamilton Parkway Entrance and Green-Wood Cemetery Chapel, Green-Wood Cemetery","",Entrance Structures & Chapel,"Institutional, cemetery, religious","","",Brooklyn,Sunset Park,500 25th Street,40.656357,-73.99531,Point,170,1377,902,1,3009020001,0.0,0.0,http://www1.nyc.gov/assets/lpc/images/content/designations/1233.jpg
